Todays_Low,Todays_High,Open_Price,Prev_Close,52_Week_Low,52_Week_High,Volume,Avg_Price,Is_Good_To_Buy
652.72,653.72,644.18,615.75,475.84,1756.71,169086,653.22,0
1039.82,1040.82,1040.08,1040.66,648.3,1488.75,3930891,1040.32,1
810.74,1324.81,1291.3,1082.79,550.75,1900.85,3788103,1067.78,1
838.78,839.78,838.79,838.87,430.93,1539.77,2239239,839.28,1
702.45,703.45,659.79,694.74,582.01,1204.26,259506,702.95,0
923.67,924.67,904.39,905.94,788.37,1799.27,467860,924.17,0
1312.78,1390.51,1349.21,1361.64,788.48,1736.7,513272,1351.64,0
598.44,1389.94,646.64,759.43,787.61,1763.56,1727937,994.19,1
1030.25,1357.89,1347.12,1335.51,575.79,1736.5,723094,1194.07,0
895.67,1306.36,986.96,1250.26,750.05,1307.7,4069252,1101.01,1
525.01,1418.94,725.41,1077.77,642.52,1267.1,4177126,971.98,1
961.32,1470.01,1065.82,1166.68,542.18,1225.25,4497114,1215.66,1
656.19,1009.8,1005.43,1003.58,443.27,1729.14,505090,833.0,0
781.94,850.56,808.11,845.03,541.68,1693.48,810012,816.25,0
702.7,983.68,961.41,946.58,548.21,1414.57,399317,843.19,0
1305.71,1497.44,1366.23,1429.17,571.54,1988.86,1232232,1401.58,1
797.19,1301.42,1270.72,1257.01,630.69,1552.27,986097,1049.3,0
803.72,1060.65,1056.66,1046.25,428.49,1369.16,415856,932.18,0
1008.71,1170.34,1120.75,1025.86,643.31,1558.41,1300793,1089.53,1
526.68,1419.59,691.15,723.58,419.07,1346.28,1434346,973.14,1
975.64,1208.57,1010.88,1180.29,759.26,1895.26,4194867,1092.1,1
925.88,926.88,926.18,926.39,609.72,1872.18,3917554,926.38,1
813.3,814.3,800.17,811.63,657.68,1823.5,156946,813.8,0
744.09,1315.1,1306.54,1271.81,433.37,1388.2,780330,1029.6,0
767.63,768.63,768.3,768.05,647.3,1504.07,2388309,768.13,1
996.94,997.94,954.95,961.03,734.44,1743.89,348456,997.44,0
694.79,695.79,655.15,662.85,529.46,1287.83,302263,695.29,0
996.26,997.26,956.27,991.14,578.71,1929.81,869926,996.76,0
736.31,1202.81,1198.36,1191.94,425.68,1272.23,575703,969.56,0
827.76,828.76,828.32,828.1,505.88,1968.67,1308691,828.26,1
573.66,574.66,573.9,574.17,560.95,1351.61,2212617,574.16,1
610.6,1143.86,1097.19,1130.88,615.0,1370.44,561594,877.23,0
592.26,593.26,577.31,573.71,459.17,1527.43,215977,592.76,0
952.58,953.58,935.39,933.74,682.92,1442.52,936694,953.08,0
537.78,538.78,532.74,520.79,630.49,1632.52,126865,538.28,0
757.0,1511.9,1494.52,1464.64,588.76,1219.85,849996,1134.45,0
731.66,732.66,722.24,711.47,454.55,1331.27,634436,732.16,0
871.0,1097.26,967.7,1044.98,715.72,1285.74,2606224,984.13,1
877.87,878.87,844.57,852.85,421.17,1861.84,343990,878.37,0
1158.22,1159.22,1118.9,1151.27,537.11,1306.88,345380,1158.72,0
862.64,894.79,888.82,856.13,790.06,1387.16,526452,878.71,0
841.56,1544.84,1530.62,1502.3,562.97,1916.4,968960,1193.2,0
536.11,537.11,536.16,536.75,401.5,1270.58,2726591,536.61,1
1066.69,1163.57,1085.38,1099.74,641.81,1401.82,3078268,1115.13,1
1215.72,1216.72,1207.4,1167.85,799.15,1726.37,751963,1216.22,0
590.1,1118.3,1081.01,1112.12,625.1,1647.12,353695,854.2,0
947.51,1223.19,1212.05,1211.2,572.05,1572.61,202968,1085.35,0
1045.24,1046.24,1046.18,1045.84,579.38,1295.34,4290037,1045.74,1
747.51,748.51,705.79,739.33,431.03,1857.46,449240,748.01,0
1171.93,1172.93,1172.58,1172.86,740.08,1514.08,1125550,1172.43,1
913.44,914.44,883.42,910.04,485.23,1838.68,276923,913.94,0
543.93,612.18,575.93,574.9,465.18,1858.18,532521,578.05,0
1028.94,1029.94,982.61,1015.06,441.24,1346.1,937195,1029.44,0
616.27,1248.22,1215.81,1238.99,627.74,1251.05,822974,932.24,0
580.06,581.06,580.5,580.66,416.37,1240.45,2856574,580.56,1
982.57,1494.57,1459.6,1460.0,660.79,1536.94,927166,1238.57,0
516.76,970.13,878.57,938.17,630.6,1218.45,4073682,743.44,1
696.24,697.24,649.39,652.94,495.33,1220.9,408474,696.74,0
598.05,1144.67,1134.39,1114.58,695.79,1436.32,335105,871.36,0
733.7,734.7,722.1,699.23,602.39,1737.7,664818,734.2,0
989.97,1283.67,1111.99,1079.4,605.76,1850.68,2256642,1136.82,1
1180.71,1485.55,1464.33,1449.89,420.58,1767.33,780722,1333.13,0
886.29,887.29,871.46,885.07,728.62,1243.83,442289,886.79,0
881.27,1438.66,1407.19,1437.52,615.57,1358.63,891873,1159.97,0
996.34,997.34,996.58,996.8,456.29,1763.55,4250965,996.84,1
912.02,1194.22,1169.02,1155.09,593.43,1831.5,974220,1053.12,0
506.07,1426.77,908.1,1085.78,717.61,1839.13,3573513,966.42,1
1040.98,1041.98,1041.51,1041.01,515.04,1782.84,1719641,1041.48,1
767.71,1447.63,1422.53,1439.5,560.73,1643.6,566147,1107.67,0
945.49,946.49,936.41,909.27,527.16,1237.93,843262,945.99,0
966.16,1468.97,1011.71,1305.06,689.86,1574.54,4918106,1217.56,1
1080.6,1115.77,1097.57,1081.59,556.22,1759.46,4305600,1098.18,1
868.61,1143.04,1127.41,1128.57,461.83,1945.57,4170134,1005.82,1
568.85,648.71,615.26,607.76,530.37,1644.54,944462,608.78,0
917.91,1371.66,1353.94,1349.46,675.67,1729.69,896084,1144.79,0
679.27,680.27,669.76,644.36,520.12,1417.61,844739,679.77,0
792.44,793.44,753.42,776.12,458.01,1236.95,623151,792.94,0
539.98,565.54,558.81,554.15,742.21,1893.13,4462707,552.76,1
502.64,613.26,510.99,545.16,707.2,1652.18,1326170,557.95,1
1133.75,1134.75,1134.44,1134.18,435.75,1211.95,1257607,1134.25,1
1198.24,1541.93,1499.77,1519.71,685.45,1927.25,726221,1370.08,0
1358.51,1484.66,1375.43,1480.61,498.49,1229.06,3727196,1421.58,1
997.88,998.88,971.26,967.3,635.17,1919.11,243361,998.38,0
849.46,885.77,868.78,879.05,762.95,1872.08,138279,867.62,0
677.83,1481.83,1437.81,1449.96,530.97,1485.4,552539,1079.83,0
951.59,952.59,912.77,930.94,780.02,1557.5,777003,952.09,0
1345.13,1404.93,1394.02,1388.39,477.56,1204.96,2827686,1375.03,1
1255.62,1447.61,1323.06,1430.51,669.49,1554.97,2796194,1351.61,1
897.63,898.63,898.27,898.55,798.23,1873.12,1367061,898.13,1
1311.55,1432.01,1426.27,1407.2,681.78,1954.22,891010,1371.78,0
844.81,908.48,881.58,895.1,535.02,1820.58,3318814,876.64,1
859.52,860.52,814.51,822.59,711.05,1330.12,703007,860.02,0
1435.45,1459.68,1412.39,1425.65,418.33,1358.46,394074,1447.56,0
1429.56,1520.02,1434.97,1460.05,541.1,1584.43,4334860,1474.79,1
641.79,642.79,615.79,627.53,623.11,1921.16,844217,642.29,0
1144.04,1499.8,1494.85,1461.54,471.51,1531.64,801467,1321.92,0
645.44,1489.71,1445.76,1480.38,429.93,1576.98,794691,1067.58,0
882.87,1491.39,1459.05,1461.26,483.1,1553.03,348692,1187.13,0
1184.64,1243.1,1199.86,1214.87,426.29,1715.99,264057,1213.87,0
524.35,1185.02,684.85,1046.25,609.8,1269.31,2978179,854.68,1
785.22,963.88,925.51,932.57,576.69,1903.85,203965,874.55,0
982.49,1214.41,1176.04,1210.09,666.59,1509.83,2844015,1098.45,1
787.69,788.69,788.01,788.36,582.87,1686.79,2260442,788.19,1
1060.24,1061.24,1059.02,1054.48,691.71,1936.74,461414,1060.74,0
660.21,1139.35,715.45,762.21,564.36,1524.88,1973679,899.78,1
559.58,614.07,570.68,589.17,695.86,1624.28,3496570,586.83,1
775.97,996.0,962.54,963.1,557.0,1397.04,948182,885.98,0
1331.26,1332.26,1315.32,1318.98,418.27,1374.01,447218,1331.76,0
613.17,614.17,605.28,570.24,707.06,1531.83,160327,613.67,0
732.62,1248.33,913.76,1084.7,790.99,1930.82,3868772,990.47,1
665.52,1264.91,1223.17,1227.46,750.23,1615.08,928544,965.22,0
643.37,721.95,651.14,679.87,647.26,1862.07,1945459,682.66,1
671.13,764.09,745.69,730.32,713.07,1263.75,4415246,717.61,1
751.85,752.85,708.46,709.38,476.59,1716.44,854523,752.35,0
728.01,962.75,922.4,954.3,657.4,1337.24,554533,845.38,0
787.21,1395.67,1362.64,1348.5,688.19,1904.05,743101,1091.44,0
1235.65,1320.25,1313.31,1283.93,775.63,1301.1,1857120,1277.95,1
889.42,890.42,843.13,850.25,639.7,1530.36,252046,889.92,0
956.48,1214.63,1036.49,1053.82,727.62,1228.8,3893111,1085.56,1
1111.02,1210.04,1120.88,1125.15,639.26,1839.05,3140239,1160.53,1
906.86,907.86,906.87,907.09,699.43,1381.88,1026441,907.36,1
750.56,1493.27,920.25,1296.64,509.32,1977.27,3882971,1121.92,1
1057.47,1458.46,1361.54,1165.2,575.54,1989.58,2457475,1257.97,1
1185.62,1186.62,1185.69,1186.14,732.09,1335.42,1041982,1186.12,1
933.59,1128.54,1059.94,1049.49,478.84,1556.6,1127935,1031.06,1
735.6,736.6,736.16,736.16,705.71,1862.76,4805427,736.1,1
995.69,1532.39,1351.99,1283.22,520.13,1383.47,2975626,1264.04,1
679.17,1332.34,1261.4,882.73,471.43,1609.21,1818688,1005.75,1
625.86,1457.59,1448.89,1417.3,797.28,1463.98,711374,1041.72,0
962.78,963.78,926.55,922.39,529.48,1296.35,550097,963.28,0
1045.05,1431.5,1263.08,1076.11,459.86,1736.27,3784228,1238.28,1
1137.19,1138.19,1112.51,1099.46,742.13,1534.92,772983,1137.69,0
918.6,919.6,919.6,918.8,457.41,1408.37,2181964,919.1,1
672.24,750.13,735.59,721.2,499.49,1825.45,939689,711.18,0
856.16,886.94,840.43,839.56,595.38,1567.51,775804,871.55,0
675.62,1271.22,877.03,1001.02,434.28,1233.13,2732582,973.42,1
1099.51,1334.34,1170.97,1179.32,789.11,1877.17,4605309,1216.92,1
841.09,1054.82,1012.37,1020.21,772.26,1817.71,414493,947.96,0
673.41,1197.79,1174.56,1194.2,460.75,1786.3,647629,935.6,0
1122.17,1521.4,1498.56,1510.05,476.35,1281.0,448509,1321.78,0
594.1,595.1,568.04,548.37,407.53,1291.27,419539,594.6,0
535.82,634.67,611.44,587.51,787.0,1961.66,777725,585.24,0
1098.07,1513.81,1175.22,1219.03,694.95,1402.33,3525752,1305.94,1
1383.77,1384.77,1383.79,1383.83,597.32,1975.43,1606200,1384.27,1
1418.75,1477.08,1421.63,1454.18,571.31,1333.42,3565428,1447.92,1
797.09,798.09,751.84,790.33,420.47,1936.75,676170,797.59,0
717.93,718.93,673.81,702.3,539.04,1843.07,857865,718.43,0
736.26,737.26,698.67,716.12,744.4,1345.94,841033,736.76,0
786.56,1472.91,910.04,954.69,746.62,1300.03,4852648,1129.74,1
820.81,1527.54,1026.1,1037.71,615.54,1990.31,3918061,1174.18,1
1095.65,1317.02,1285.47,1107.0,571.6,1525.02,2948323,1206.34,1
584.04,994.83,806.87,617.72,798.89,1470.07,3565694,789.44,1
1437.09,1547.1,1526.72,1499.52,484.32,1297.52,4500415,1492.09,1
1268.35,1403.12,1375.26,1381.18,428.71,1533.14,321753,1335.74,0
540.65,541.65,514.72,540.5,778.82,1714.25,334850,541.15,0
1071.17,1072.17,1071.41,1071.32,561.34,1925.15,2044207,1071.67,1
1231.05,1302.28,1286.62,1254.93,512.38,1949.67,1281516,1266.66,1
558.93,559.93,509.95,529.73,698.31,1967.15,309997,559.43,0
905.53,1349.25,1303.27,1255.25,524.05,1788.24,3049076,1127.39,1
605.77,606.77,606.17,606.58,774.65,1943.89,3633070,606.27,1
689.91,1194.55,1165.68,1187.06,603.01,1874.58,942846,942.23,0
756.1,757.1,756.16,756.38,428.95,1990.89,1647022,756.6,1
694.56,695.56,658.59,649.64,777.57,1665.35,812262,695.06,0
1368.18,1487.38,1437.86,1486.83,768.73,1491.71,1484168,1427.78,1
608.24,1287.76,860.0,1103.67,760.76,1581.71,1324446,948.0,1
814.99,815.99,815.55,815.24,713.29,1511.44,3772443,815.49,1
1344.22,1392.36,1371.04,1382.92,656.29,1549.79,885792,1368.29,0
1063.64,1064.64,1063.94,1064.15,512.69,1601.45,2638252,1064.14,1
622.44,623.44,622.61,623.25,748.7,1817.75,4960523,622.94,1
1180.12,1181.12,1180.57,1180.88,407.47,1281.06,1291998,1180.62,1
652.64,653.64,653.25,653.39,599.94,1652.39,2042235,653.14,1
1444.33,1450.64,1438.72,1401.3,594.49,1763.36,669682,1447.48,0
877.36,894.96,868.71,881.57,684.19,1849.98,206872,886.16,0
